Age,Fare,SibSp,Parch,Sex,Embarked,Pclass,prediction,label,version,timestamp
22.0,7.25,1,0,male,s,3,0,0,1,2026-02-18 14:06:25.781373
38.0,71.2833,1,0,female,c,1,1,1,1,2026-02-18 14:06:25.781373
26.0,7.925,0,0,female,s,3,1,1,1,2026-02-18 14:06:25.781373
35.0,53.1,1,0,female,s,1,1,1,1,2026-02-18 14:06:25.781373
35.0,8.05,0,0,male,s,3,0,0,1,2026-02-18 14:06:25.781373
,8.4583,0,0,male,q,3,0,0,1,2026-02-18 14:06:25.781373
54.0,51.8625,0,0,male,s,1,0,0,1,2026-02-18 14:06:25.781373
2.0,21.075,3,1,male,s,3,1,0,1,2026-02-18 14:06:25.781373
27.0,11.1333,0,2,female,s,3,1,1,1,2026-02-18 14:06:25.781373
14.0,30.0708,1,0,female,c,2,1,1,1,2026-02-18 14:06:25.781373
4.0,16.7,1,1,female,s,3,1,1,1,2026-02-18 14:06:25.781373
58.0,26.55,0,0,female,s,1,1,1,1,2026-02-18 14:06:25.781373
20.0,8.05,0,0,male,s,3,0,0,1,2026-02-18 14:06:25.781373
39.0,31.275,1,5,male,s,3,0,0,1,2026-02-18 14:06:25.781373
14.0,7.8542,0,0,female,s,3,0,0,1,2026-02-18 14:06:25.781373
55.0,16.0,0,0,female,s,2,1,1,1,2026-02-18 14:06:25.781373
2.0,29.125,4,1,male,q,3,0,0,1,2026-02-18 14:06:25.781373
,13.0,0,0,male,s,2,0,1,1,2026-02-18 14:06:25.781373
31.0,18.0,1,0,female,s,3,1,0,1,2026-02-18 14:06:25.781373
,7.225,0,0,female,c,3,1,1,1,2026-02-18 14:06:25.781373
35.0,26.0,0,0,male,s,2,0,0,1,2026-02-18 14:06:25.781373
34.0,13.0,0,0,male,s,2,0,1,1,2026-02-18 14:06:25.781373
15.0,8.0292,0,0,female,q,3,1,1,1,2026-02-18 14:06:25.781373
28.0,35.5,0,0,male,s,1,0,1,1,2026-02-18 14:06:25.781373
8.0,21.075,3,1,female,s,3,0,0,1,2026-02-18 14:06:25.781373
38.0,31.3875,1,5,female,s,3,0,1,1,2026-02-18 14:06:25.781373
,7.225,0,0,male,c,3,0,0,1,2026-02-18 14:06:25.781373
19.0,263.0,3,2,male,s,1,0,0,1,2026-02-18 14:06:25.781373
,7.8792,0,0,female,q,3,1,1,1,2026-02-18 14:06:25.781373
,7.8958,0,0,male,s,3,0,0,1,2026-02-18 14:06:25.781373
40.0,27.7208,0,0,male,c,1,0,0,1,2026-02-18 14:06:25.781373
,146.5208,1,0,female,c,1,1,1,1,2026-02-18 14:06:25.781373
,7.75,0,0,female,q,3,1,1,1,2026-02-18 14:06:25.781373
66.0,10.5,0,0,male,s,2,0,0,1,2026-02-18 14:06:25.781373
28.0,82.1708,1,0,male,c,1,0,0,1,2026-02-18 14:06:25.781373
42.0,52.0,1,0,male,s,1,0,0,1,2026-02-18 14:06:25.781373
,7.2292,0,0,male,c,3,0,1,1,2026-02-18 14:06:25.781373
21.0,8.05,0,0,male,s,3,0,0,1,2026-02-18 14:06:25.781373
18.0,18.0,2,0,female,s,3,0,0,1,2026-02-18 14:06:25.781373
14.0,11.2417,1,0,female,c,3,0,1,1,2026-02-18 14:06:25.781373
40.0,9.475,1,0,female,s,3,0,0,1,2026-02-18 14:06:25.781373
27.0,21.0,1,0,female,s,2,1,0,1,2026-02-18 14:06:25.781373
,7.8958,0,0,male,c,3,0,0,1,2026-02-18 14:06:25.781373
3.0,41.5792,1,2,female,c,2,1,1,1,2026-02-18 14:06:25.781373
19.0,7.8792,0,0,female,q,3,1,1,1,2026-02-18 14:06:25.781373
,8.05,0,0,male,s,3,0,0,1,2026-02-18 14:06:25.781373
,15.5,1,0,male,q,3,0,0,1,2026-02-18 14:06:25.781373
,7.75,0,0,female,q,3,1,1,1,2026-02-18 14:06:25.781373
,21.6792,2,0,male,c,3,0,0,1,2026-02-18 14:06:25.781373
18.0,17.8,1,0,female,s,3,0,0,1,2026-02-18 14:06:25.781373
7.0,39.6875,4,1,male,s,3,0,0,1,2026-02-18 14:06:25.781373
21.0,7.8,0,0,male,s,3,0,0,1,2026-02-18 14:06:25.781373
49.0,76.7292,1,0,female,c,1,1,1,1,2026-02-18 14:06:25.781373
29.0,26.0,1,0,female,s,2,1,1,1,2026-02-18 14:06:25.781373
65.0,61.9792,0,1,male,c,1,0,0,1,2026-02-18 14:06:25.781373
,35.5,0,0,male,s,1,0,1,1,2026-02-18 14:06:25.781373
21.0,10.5,0,0,female,s,2,1,1,1,2026-02-18 14:06:25.781373
28.5,7.2292,0,0,male,c,3,0,0,1,2026-02-18 14:06:25.781373
5.0,27.75,1,2,female,s,2,1,1,1,2026-02-18 14:06:25.781373
11.0,46.9,5,2,male,s,3,0,0,1,2026-02-18 14:06:25.781373
22.0,7.2292,0,0,male,c,3,0,0,1,2026-02-18 14:06:25.781373
38.0,80.0,0,0,female,,1,1,1,1,2026-02-18 14:06:25.781373
45.0,83.475,1,0,male,s,1,0,0,1,2026-02-18 14:06:25.781373
4.0,27.9,3,2,male,s,3,1,0,1,2026-02-18 14:06:25.781373
,27.7208,0,0,male,c,1,0,0,1,2026-02-18 14:06:25.781373
,15.2458,1,1,male,c,3,0,1,1,2026-02-18 14:06:25.781373
29.0,10.5,0,0,female,s,2,1,1,1,2026-02-18 14:06:25.781373
19.0,8.1583,0,0,male,s,3,0,0,1,2026-02-18 14:06:25.781373
17.0,7.925,4,2,female,s,3,1,1,1,2026-02-18 14:06:25.781373
26.0,8.6625,2,0,male,s,3,0,0,1,2026-02-18 14:06:25.781373
32.0,10.5,0,0,male,s,2,0,0,1,2026-02-18 14:06:25.781373
16.0,46.9,5,2,female,s,3,0,0,1,2026-02-18 14:06:25.781373
21.0,73.5,0,0,male,s,2,0,0,1,2026-02-18 14:06:25.781373
26.0,14.4542,1,0,male,c,3,0,0,1,2026-02-18 14:06:25.781373
32.0,56.4958,0,0,male,s,3,1,1,1,2026-02-18 14:06:25.781373
25.0,7.65,0,0,male,s,3,0,0,1,2026-02-18 14:06:25.781373
,7.8958,0,0,male,s,3,0,0,1,2026-02-18 14:06:25.781373
,8.05,0,0,male,s,3,0,0,1,2026-02-18 14:06:25.781373
0.83,29.0,0,2,male,s,2,1,1,1,2026-02-18 14:06:25.781373
30.0,12.475,0,0,female,s,3,1,1,1,2026-02-18 14:06:25.781373
22.0,9.0,0,0,male,s,3,0,0,1,2026-02-18 14:06:25.781373
29.0,9.5,0,0,male,s,3,0,1,1,2026-02-18 14:06:25.781373
,7.7875,0,0,female,q,3,1,1,1,2026-02-18 14:06:25.781373
28.0,47.1,0,0,male,s,1,0,0,1,2026-02-18 14:06:25.781373
17.0,10.5,0,0,female,s,2,1,1,1,2026-02-18 14:06:25.781373
33.0,15.85,3,0,female,s,3,1,1,1,2026-02-18 14:06:25.781373
16.0,34.375,1,3,male,s,3,0,0,1,2026-02-18 14:06:25.781373
,8.05,0,0,male,s,3,0,0,1,2026-02-18 14:06:25.781373
23.0,263.0,3,2,female,s,1,1,1,1,2026-02-18 14:06:25.781373
24.0,8.05,0,0,male,s,3,0,0,1,2026-02-18 14:06:25.781373
29.0,8.05,0,0,male,s,3,0,0,1,2026-02-18 14:06:25.781373
