Age,Fare,SibSp,Parch,Sex,Embarked,Pclass,prediction,version,timestamp,label
30.0,24.15,1,1,female,s,3,0,1,2026-02-18 14:18:17.265495,
34.0,13.0,0,0,male,s,2,0,1,2026-02-18 14:18:17.265495,
31.0,26.25,1,1,female,s,2,1,1,2026-02-18 14:18:17.265495,
11.0,120.0,1,2,male,s,1,1,1,2026-02-18 14:18:17.265495,
0.42,8.5167,0,1,male,c,3,1,1,2026-02-18 14:18:17.265495,
27.0,6.975,0,0,male,s,3,0,1,2026-02-18 14:18:17.265495,
31.0,7.775,0,0,male,s,3,0,1,2026-02-18 14:18:17.265495,
39.0,0.0,0,0,male,s,1,0,1,2026-02-18 14:18:17.265495,
18.0,7.775,0,0,female,s,3,0,1,2026-02-18 14:18:17.265495,
39.0,13.0,0,0,male,s,2,0,1,2026-02-18 14:18:17.265495,
33.0,53.1,1,0,female,s,1,1,1,2026-02-18 14:18:17.265495,
26.0,7.8875,0,0,male,s,3,0,1,2026-02-18 14:18:17.265495,
39.0,24.15,0,0,male,s,3,0,1,2026-02-18 14:18:17.265495,
35.0,10.5,0,0,male,s,2,0,1,2026-02-18 14:18:17.265495,
6.0,31.275,4,2,female,s,3,0,1,2026-02-18 14:18:17.265495,
30.5,8.05,0,0,male,s,3,0,1,2026-02-18 14:18:17.265495,
,0.0,0,0,male,s,1,0,1,2026-02-18 14:18:17.265495,
23.0,7.925,0,0,female,s,3,1,1,2026-02-18 14:18:17.265495,
31.0,37.0042,1,1,male,c,2,0,1,2026-02-18 14:18:17.265495,
43.0,6.45,0,0,male,s,3,0,1,2026-02-18 14:18:17.265495,
10.0,27.9,3,2,male,s,3,0,1,2026-02-18 14:18:17.265495,
52.0,93.5,1,1,female,s,1,1,1,2026-02-18 14:18:17.265495,
27.0,8.6625,0,0,male,s,3,0,1,2026-02-18 14:18:17.265495,
38.0,0.0,0,0,male,s,1,0,1,2026-02-18 14:18:17.265495,
27.0,12.475,0,1,female,s,3,1,1,2026-02-18 14:18:17.265495,
2.0,39.6875,4,1,male,s,3,0,1,2026-02-18 14:18:17.265495,
,6.95,0,0,male,q,3,0,1,2026-02-18 14:18:17.265495,
,56.4958,0,0,male,s,3,1,1,2026-02-18 14:18:17.265495,
1.0,37.0042,0,2,male,c,2,1,1,2026-02-18 14:18:17.265495,
,7.75,0,0,male,q,3,0,1,2026-02-18 14:18:17.265495,
62.0,80.0,0,0,female,,1,1,1,2026-02-18 14:18:17.265495,
15.0,14.4542,1,0,female,c,3,0,1,2026-02-18 14:18:17.265495,
0.83,18.75,1,1,male,s,2,1,1,2026-02-18 14:18:17.265495,
,7.2292,0,0,male,c,3,0,1,2026-02-18 14:18:17.265495,
23.0,7.8542,0,0,male,s,3,0,1,2026-02-18 14:18:17.265495,
18.0,8.3,0,0,male,s,3,0,1,2026-02-18 14:18:17.265495,
39.0,83.1583,1,1,female,c,1,1,1,2026-02-18 14:18:17.265495,
21.0,8.6625,0,0,male,s,3,0,1,2026-02-18 14:18:17.265495,
,8.05,0,0,male,s,3,0,1,2026-02-18 14:18:17.265495,
32.0,56.4958,0,0,male,s,3,1,1,2026-02-18 14:18:17.265495,
,29.7,0,0,male,c,1,0,1,2026-02-18 14:18:17.265495,
20.0,7.925,0,0,male,s,3,0,1,2026-02-18 14:18:17.265495,
16.0,10.5,0,0,male,s,2,0,1,2026-02-18 14:18:17.265495,
30.0,31.0,0,0,female,c,1,1,1,2026-02-18 14:18:17.265495,
34.5,6.4375,0,0,male,c,3,0,1,2026-02-18 14:18:17.265495,
17.0,8.6625,0,0,male,s,3,0,1,2026-02-18 14:18:17.265495,
42.0,7.55,0,0,male,s,3,0,1,2026-02-18 14:18:17.265495,
,69.55,8,2,male,s,3,0,1,2026-02-18 14:18:17.265495,
35.0,7.8958,0,0,male,c,3,0,1,2026-02-18 14:18:17.265495,
28.0,33.0,0,1,male,s,2,0,1,2026-02-18 14:18:17.265495,
,89.1042,1,0,female,c,1,1,1,2026-02-18 14:18:17.265495,
4.0,31.275,4,2,male,s,3,0,1,2026-02-18 14:18:17.265495,
74.0,7.775,0,0,male,s,3,0,1,2026-02-18 14:18:17.265495,
9.0,15.2458,1,1,female,c,3,1,1,2026-02-18 14:18:17.265495,
16.0,39.4,0,1,female,s,1,1,1,2026-02-18 14:18:17.265495,
44.0,26.0,1,0,female,s,2,1,1,2026-02-18 14:18:17.265495,
18.0,9.35,0,1,female,s,3,0,1,2026-02-18 14:18:17.265495,
45.0,164.8667,1,1,female,s,1,1,1,2026-02-18 14:18:17.265495,
51.0,26.55,0,0,male,s,1,0,1,2026-02-18 14:18:17.265495,
24.0,19.2583,0,3,female,c,3,1,1,2026-02-18 14:18:17.265495,
,7.2292,0,0,male,c,3,0,1,2026-02-18 14:18:17.265495,
41.0,14.1083,2,0,male,s,3,0,1,2026-02-18 14:18:17.265495,
21.0,11.5,1,0,male,s,2,0,1,2026-02-18 14:18:17.265495,
48.0,25.9292,0,0,female,s,1,1,1,2026-02-18 14:18:17.265495,
,69.55,8,2,female,s,3,0,1,2026-02-18 14:18:17.265495,
24.0,13.0,0,0,male,s,2,0,1,2026-02-18 14:18:17.265495,
42.0,13.0,0,0,female,s,2,1,1,2026-02-18 14:18:17.265495,
27.0,13.8583,1,0,female,c,2,1,1,2026-02-18 14:18:17.265495,
31.0,50.4958,0,0,male,s,1,0,1,2026-02-18 14:18:17.265495,
,9.5,0,0,male,s,3,0,1,2026-02-18 14:18:17.265495,
4.0,11.1333,1,1,male,s,3,1,1,2026-02-18 14:18:17.265495,
26.0,7.8958,0,0,male,s,3,0,1,2026-02-18 14:18:17.265495,
47.0,52.5542,1,1,female,s,1,1,1,2026-02-18 14:18:17.265495,
33.0,5.0,0,0,male,s,1,0,1,2026-02-18 14:18:17.265495,
47.0,9.0,0,0,male,s,3,0,1,2026-02-18 14:18:17.265495,
28.0,24.0,1,0,female,c,2,1,1,2026-02-18 14:18:17.265495,
15.0,7.225,0,0,female,c,3,1,1,2026-02-18 14:18:17.265495,
20.0,9.8458,0,0,male,s,3,0,1,2026-02-18 14:18:17.265495,
19.0,7.8958,0,0,male,s,3,0,1,2026-02-18 14:18:17.265495,
,7.8958,0,0,male,s,3,0,1,2026-02-18 14:18:17.265495,
56.0,83.1583,0,1,female,c,1,1,1,2026-02-18 14:18:17.265495,
25.0,26.0,0,1,female,s,2,1,1,2026-02-18 14:18:17.265495,
33.0,7.8958,0,0,male,s,3,0,1,2026-02-18 14:18:17.265495,
22.0,10.5167,0,0,female,s,3,0,1,2026-02-18 14:18:17.265495,
28.0,10.5,0,0,male,s,2,0,1,2026-02-18 14:18:17.265495,
25.0,7.05,0,0,male,s,3,0,1,2026-02-18 14:18:17.265495,
39.0,29.125,0,5,female,q,3,0,1,2026-02-18 14:18:17.265495,
27.0,13.0,0,0,male,s,2,0,1,2026-02-18 14:18:17.265495,
19.0,30.0,0,0,female,s,1,1,1,2026-02-18 14:18:17.265495,
,23.45,1,2,female,s,3,1,1,2026-02-18 14:18:17.265495,
26.0,30.0,0,0,male,c,1,0,1,2026-02-18 14:18:17.265495,
32.0,7.75,0,0,male,q,3,0,1,2026-02-18 14:18:17.265495,
