Age,Fare,SibSp,Parch,Sex,Embarked,Pclass,predicciones,Reales
30.0,24.15,1,1,female,s,3,1,0
34.0,13.0,0,0,male,s,2,0,0
31.0,26.25,1,1,female,s,2,1,1
11.0,120.0,1,2,male,s,1,1,1
0.42,8.5167,0,1,male,c,3,1,1
27.0,6.975,0,0,male,s,3,0,1
31.0,7.775,0,0,male,s,3,0,0
39.0,0.0,0,0,male,s,1,0,0
18.0,7.775,0,0,female,s,3,1,0
39.0,13.0,0,0,male,s,2,0,0
33.0,53.1,1,0,female,s,1,1,1
26.0,7.8875,0,0,male,s,3,0,0
39.0,24.15,0,0,male,s,3,0,0
35.0,10.5,0,0,male,s,2,0,0
6.0,31.275,4,2,female,s,3,1,0
30.5,8.05,0,0,male,s,3,0,0
27.5,0.0,0,0,male,s,1,0,0
23.0,7.925,0,0,female,s,3,1,0
31.0,37.0042,1,1,male,c,2,0,0
43.0,6.45,0,0,male,s,3,0,0
10.0,27.9,3,2,male,s,3,0,0
52.0,93.5,1,1,female,s,1,1,1
27.0,8.6625,0,0,male,s,3,0,1
38.0,0.0,0,0,male,s,1,0,0
27.0,12.475,0,1,female,s,3,1,1
2.0,39.6875,4,1,male,s,3,0,0
27.5,6.95,0,0,male,q,3,0,0
27.5,56.4958,0,0,male,s,3,1,0
1.0,37.0042,0,2,male,c,2,1,1
27.5,7.75,0,0,male,q,3,0,1
62.0,80.0,0,0,female,,1,1,1
15.0,14.4542,1,0,female,c,3,0,1
0.83,18.75,1,1,male,s,2,1,1
27.5,7.2292,0,0,male,c,3,0,0
23.0,7.8542,0,0,male,s,3,0,0
18.0,8.3,0,0,male,s,3,0,0
39.0,83.1583,1,1,female,c,1,1,1
21.0,8.6625,0,0,male,s,3,0,0
27.5,8.05,0,0,male,s,3,0,0
32.0,56.4958,0,0,male,s,3,1,1
27.5,29.7,0,0,male,c,1,0,1
20.0,7.925,0,0,male,s,3,0,0
16.0,10.5,0,0,male,s,2,0,0
30.0,31.0,0,0,female,c,1,1,1
34.5,6.4375,0,0,male,c,3,0,0
17.0,8.6625,0,0,male,s,3,0,0
42.0,7.55,0,0,male,s,3,0,0
27.5,69.55,8,2,male,s,3,0,0
35.0,7.8958,0,0,male,c,3,0,0
28.0,33.0,0,1,male,s,2,0,0
27.5,89.1042,1,0,female,c,1,1,1
4.0,31.275,4,2,male,s,3,0,0
74.0,7.775,0,0,male,s,3,0,0
9.0,15.2458,1,1,female,c,3,1,0
16.0,39.4,0,1,female,s,1,1,1
44.0,26.0,1,0,female,s,2,1,0
18.0,9.35,0,1,female,s,3,0,1
45.0,164.8667,1,1,female,s,1,1,1
51.0,26.55,0,0,male,s,1,0,1
24.0,19.2583,0,3,female,c,3,1,1
27.5,7.2292,0,0,male,c,3,0,0
41.0,14.1083,2,0,male,s,3,0,0
21.0,11.5,1,0,male,s,2,0,0
48.0,25.9292,0,0,female,s,1,1,1
27.5,69.55,8,2,female,s,3,0,0
24.0,13.0,0,0,male,s,2,0,0
42.0,13.0,0,0,female,s,2,1,1
27.0,13.8583,1,0,female,c,2,1,1
31.0,50.4958,0,0,male,s,1,0,0
27.5,9.5,0,0,male,s,3,0,0
4.0,11.1333,1,1,male,s,3,1,1
26.0,7.8958,0,0,male,s,3,0,0
47.0,52.5542,1,1,female,s,1,1,1
33.0,5.0,0,0,male,s,1,0,0
47.0,9.0,0,0,male,s,3,0,0
28.0,24.0,1,0,female,c,2,1,1
15.0,7.225,0,0,female,c,3,1,1
20.0,9.8458,0,0,male,s,3,0,0
19.0,7.8958,0,0,male,s,3,0,0
27.5,7.8958,0,0,male,s,3,0,0
56.0,83.1583,0,1,female,c,1,1,1
25.0,26.0,0,1,female,s,2,1,1
33.0,7.8958,0,0,male,s,3,0,0
22.0,10.5167,0,0,female,s,3,1,0
28.0,10.5,0,0,male,s,2,0,0
25.0,7.05,0,0,male,s,3,0,0
39.0,29.125,0,5,female,q,3,0,0
27.0,13.0,0,0,male,s,2,0,0
19.0,30.0,0,0,female,s,1,1,1
27.5,23.45,1,2,female,s,3,1,0
26.0,30.0,0,0,male,c,1,0,1
32.0,7.75,0,0,male,q,3,0,0
